"duration"	"severity"	"durationCDF"	"severityCDF"	"RT_duration"	"RT_severity"	"P2"	"RT"	"P_22"	"RT2"	"RT_condDuration"	"RT_condSeverity"	"intera_timeFUll"
6	5.64846758799721	0.616476373323636	0.634208287320628	2.47461696766585	2.59457511249296	0.23956316304896	3.96168618745491	0.509752176306775	1.86183427592256	10.3297056866799	10.8304427086008	12
6	3.77115928524354	0.616476373323636	0.336537242671525	2.47461696766585	1.43048583148156	0.3250998842773	2.91933070411229	0.721886499727539	1.31471370420735	7.6118666518967	4.40014254284202	12
3	1.35914972637668	0.0888469919622159	0.0800462244281415	1.04161876841954	1.03165408879823	0.844365430983772	1.12400868065893	0.986741352625871	0.961826593715204	1.23361133722155	1.2218099544841	12
5	4.49259426524982	0.400596476253918	0.449087527547441	1.58336418868989	1.72273114429407	0.407378121650259	2.32971292181683	0.742937874548383	1.27746088412978	3.8867187621068	4.22882588126092	11
7	6.48513786295974	0.800744168554892	0.752993608154671	4.76309309088166	3.84230572732858	0.133737565700558	7.09654066980011	0.312524657589879	3.03679742069993	35.6152219904043	28.7301904083674	13
5	3.23031383085086	0.400596476253918	0.260335285777556	1.58336418868989	1.28311389718214	0.497449296045644	1.90788102751077	0.841618941922881	1.12767670355147	3.18296598522998	2.57938629601439	6
1	0.0581135436825659	0.00726321375531051	0.026501427955519	0.956017835970618	0.974910597024182	0.966618019407352	0.98185017764925	0.999617338881819	0.949437386846168	0.989033741122235	1.00857896030318	6
5	3.77709783802426	0.400596476253918	0.337420836476081	1.58336418868989	1.43239348039023	0.462690939981177	2.05120522591751	0.799291747288825	1.18739381120011	3.42207735633272	3.09578890921984	12
5	4.73538775451795	0.400596476253918	0.488418226220865	1.58336418868989	1.85517569764676	0.38627495731151	2.45699094934777	0.724710340213708	1.30959091020311	4.09905990207123	4.80273355166191	12
6	8.60237992883538	0.616476373323636	0.939027269896176	2.47461696766585	15.5655499181027	0.0570558443595168	16.6341254735243	0.387440512420671	2.44959947049523	43.3718402636012	272.812541691995	12
6	4.12543954533815	0.616476373323636	0.3906702217193	2.47461696766585	1.55757047809481	0.312951562680723	3.03265484902637	0.679901842276341	1.39589866516104	7.9073481738466	4.97703371330937	14
3	2.08114745228143	0.0888469919622159	0.133377556861338	1.04161876841954	1.09514135202499	0.799332869038416	1.1873327256213	0.97844258213803	0.969984433833836	1.30311014192696	1.37006920951771	9
8	3.81344563491926	0.918088032729938	0.342848400664219	11.5865130054195	1.44422394320177	0.0791608485029871	11.9891852098864	0.659902718102856	1.43820300786539	146.366710621884	18.244169567577	13
4	2.34097342846921	0.211899895295582	0.1575220674509	1.20425573909806	1.12652692421562	0.687603075078367	1.38026444103076	0.942974962175152	1.00646794681044	1.75138213126927	1.63833898515831	10
9	12.3876079842305	0.973832517201943	0.998995967534082	36.2692155526917	945.262335921256	NA	NA	NA	NA	NA	NA	13
6	4.8401498285858	0.616476373323636	0.505446359507904	2.47461696766585	1.91905184062484	0.28296852067821	3.35399171540129	0.59510874649025	1.59479100193266	8.74520233464406	6.78185628572862	12
6	7.72947833169004	0.616476373323636	0.883168382387406	2.47461696766585	8.12343519218523	0.102439430030751	9.26473403638791	0.397915814258207	2.38511273004652	24.1568795035565	79.2998866720236	14
4	5.08480763633453	0.211899895295582	0.54512102042703	1.20425573909806	2.08643203290036	0.407335573939326	2.32995626896913	0.835643510338062	1.13574037533077	2.95642172239401	5.12214539163019	13
3	2.02388647154288	0.0888469919622159	0.128418561689454	1.04161876841954	1.08891037871772	0.803538606222628	1.18111820231712	0.979195840125702	0.969238261829461	1.29628963730331	1.35514382294163	8
6	4.30500151189154	0.616476373323636	0.419018120561445	2.47461696766585	1.63356914847539	0.306130857171172	3.10022348888339	0.658374648943747	1.44154103684993	8.08352673275985	5.33617931746746	14
5	5.19010390601466	0.400596476253918	0.562081708336221	1.58336418868989	2.16724008140483	0.34413558135015	2.75784930564449	0.693186234059712	1.36914731920703	4.60098947768742	6.29763441752254	12
6	4.02482473526285	0.616476373323636	0.375026136712634	2.47461696766585	1.51858202370566	0.316574742596318	2.99794628684036	0.691922747367412	1.37164745296358	7.81684902393295	4.79691465987256	11
6	6.23193267923734	0.616476373323636	0.71930097554156	2.47461696766585	3.38110927141677	0.202507826013017	4.68660442788552	0.461714825121787	2.05554169464612	12.219858443924	16.6961906509205	12
7	6.51561690820476	0.800744168554892	0.756898238054931	4.76309309088166	3.9040197260624	0.132775517283879	7.1479599062297	0.309582076106298	3.06566221795154	35.8732783597295	29.403159602952	13
6	6.70257879434931	0.616476373323636	0.780103173520805	2.47461696766585	4.31599713952155	0.170453154274174	5.56794667787425	0.432967298881385	2.19202253039919	14.5178713659087	25.3207232092594	10
7	6.00020457791642	0.800744168554892	0.686638096653956	4.76309309088166	3.02868365279878	0.147541732680805	6.43258051013485	0.365076002110346	2.59966162823053	32.2830226020609	20.5276405378205	12
1	0.267052536525875	0.00726321375531051	0.0321740249199662	0.956017835970618	0.980624718194395	0.961025984569592	0.987563384666575	0.999536776755131	0.949513910988971	0.994788747984564	1.02039355224467	2
5	2.34297634176053	0.400596476253918	0.157718701289196	1.58336418868989	1.12678991629842	0.540146548588724	1.75706773754971	0.901538273868161	1.05272743441269	2.93136037400747	2.08608185915926	11
5	3.86186208657605	0.400596476253918	0.350128599768566	1.58336418868989	1.46040289468976	0.456709898793011	2.07806766742363	0.792565025184505	1.19747155617059	3.46689264426803	3.19765982421073	13
