"duration"	"severity"	"durationCDF"	"severityCDF"	"RT_duration"	"RT_severity"	"P2"	"RT"	"P_22"	"RT2"	"RT_condDuration"	"RT_condSeverity"	"intera_timeFUll"
6	5.0263389134918	0.622118210549926	0.596270298715813	2.56442000144506	2.40023861500718	0.251499877761916	3.85307391666	0.530111612972345	1.82800677316641	10.1965059556517	9.54369694477297	11
4	1.71070115973362	0.231056256787487	0.0973783232647305	1.26023213999909	1.07359223030474	0.759551751193948	1.27581513376062	0.912013668753834	1.06253628892615	1.65917876960737	1.41345501292986	14
4	1.73546235717057	0.231056256787487	0.100424950147868	1.26023213999909	1.07722820814884	0.758785689451103	1.27710318278224	0.909733103613542	1.06519990885071	1.66085385836775	1.41967385933187	12
3	3.27764163313748	0.0985616947802333	0.334119850647386	1.07500159848584	1.45528834278924	0.660885008029735	1.46628779178483	0.906433446542647	1.06907751776349	1.6266091459552	2.20202958927427	8
7	6.11477638848722	0.798302900838297	0.720743695641379	4.80446978699839	3.47010113620629	0.109724028521253	8.83168101014374	0.371229374999071	2.61037429769679	43.7868519024326	31.6257175659035	11
3	0.811997290178839	0.0985616947802333	0.0169747514167882	1.07500159848584	0.985781006585804	0.901045430327677	1.07547032195171	0.983418123475302	0.985387187723469	1.19306037443074	1.09404140280398	7
3	0.928183947094949	0.0985616947802333	0.0236439754153029	1.07500159848584	0.992514610087866	0.900474704965081	1.07615196040981	0.977319624839383	0.99153602815136	1.19381654205104	1.10221264918969	10
3	2.68729171335407	0.0985616947802333	0.23840951514719	1.07500159848584	1.27239985047201	0.752401130032654	1.28794014305316	0.910627660039922	1.06415350814749	1.42876127583592	1.69111900512003	10
5	2.9830580995693	0.417316288059391	0.286094620773157	1.66307655283557	1.35738943457338	0.53325992229819	1.81721441744828	0.763329168869262	1.26950162337317	3.11869781188169	2.5454555608144	12
5	7.34438076851517	0.417316288059391	0.822698229172897	1.66307655283557	5.46552701942607	0.158115855644753	6.12871881251953	0.601869627122959	1.61006233805124	10.5180884361913	34.5665967346485	12
6	5.34417358125251	0.622118210549926	0.636099698553908	2.56442000144506	2.66294810748095	0.231542120571074	4.18518935845265	0.510239970325092	1.89919974013444	11.0753930866669	11.5009230325484	13
6	5.28366114210107	0.622118210549926	0.628736893894445	2.56442000144506	2.61013713216122	0.235327791809958	4.11786305218972	0.513817103745671	1.88597773796039	10.8972254476258	11.0914954501807	10
7	4.59118487460671	0.798302900838297	0.53722630430513	4.80446978699839	2.09399892012566	0.158037580498886	6.13175433329576	0.506433214357687	1.91347564017235	30.4008057566552	13.2500061916629	14
2	1.37744348340436	0.027625359041651	0.0602692722456343	0.996578456727902	1.03119711894844	0.936516129895476	1.03473670993341	0.975589238817238	0.993294698722231	1.06413378789229	1.10109915465474	9
9	12.0428241151827	0.972802079909768	0.975355786416158	35.6294751890105	39.3215070852574	0.0017837715296114	543.257700305784	0.0500583621444625	19.358356477007	19974.2369454526	22044.0266214046	13
6	2.47673265270532	0.622118210549926	0.205296268090366	2.56442000144506	1.21938224288823	0.369314367927725	2.62390988058516	0.803271153431983	1.20637671962619	6.9437320184275	3.30174601581401	12
7	10.1010771385476	0.798302900838297	0.942276416063591	4.80446978699839	16.7877244094055	0.0260623698190958	37.1818689464532	0.233358313279016	4.15261665818168	184.345085283771	644.136528102875	13
4	3.13833389251496	0.231056256787487	0.311395965236137	1.26023213999909	1.40726392836186	0.640680990175317	1.5125275041834	0.816866787801059	1.18629822330789	1.96701971702679	2.1965126949947	14
4	2.32080236995587	0.231056256787487	0.181473773511349	1.26023213999909	1.18389318226819	0.726804816882114	1.33329828936012	0.86066515281905	1.12592872602495	1.73393476587745	1.62890112278963	11
3	1.66844152090169	0.0985616947802333	0.0922648725534803	1.07500159848584	1.06754447387485	0.874047050055894	1.10869045205936	0.935126382610393	1.03627449408767	1.22991273572412	1.22138101582356	9
7	6.53011279573729	0.798302900838297	0.759508622202195	4.80446978699839	4.02944848967663	0.0970393354842604	9.98613205883708	0.345149141475248	2.80761996076735	49.5105388245127	41.5238673015254	14
6	5.19074283577105	0.622118210549926	0.617228638476747	2.56442000144506	2.53166176066898	0.241158255254136	4.01830581344364	0.51949489571919	1.86536504407048	10.6337641178513	10.4979270064841	12
5	5.27638703838025	0.417316288059391	0.627844808429308	1.66307655283557	2.60388042675886	0.319475871823611	3.03324195819911	0.635363031687689	1.52518728776772	5.20564054913599	8.15047600275903	12
6	5.91596092288918	0.622118210549926	0.700514197188001	2.56442000144506	3.23570469768123	0.196651231435175	4.92774752527833	0.480716360826898	2.01584072857584	13.040447205592	16.4540271325373	11
5	5.57931986481656	0.417316288059391	0.663718821405362	1.66307655283557	2.88165880438921	0.291128602337306	3.32858953489176	0.627836288197941	1.54347182102049	5.71251515475866	9.89823322495286	12
6	4.88517756788405	0.622118210549926	0.577675296437475	2.56442000144506	2.29455584973649	0.260369384640236	3.72181860162474	0.539837108372362	1.79507411405887	9.8491610485942	8.81269452208052	11
8	6.24501693960947	0.91491885073204	0.733402016996683	11.38968652146	3.63486478078704	0.0473295296853005	20.4744823261699	0.304349602585977	3.18399502024607	240.646518086941	76.7990893836402	14
5	4.68315561575391	0.417316288059391	0.550124157256255	1.66307655283557	2.15403346207145	0.378079907046406	2.5630762200983	0.654479647637947	1.48063827889066	4.39874355087438	5.69729684631735	11
6	8.3443558731656	0.622118210549926	0.880290292480217	2.56442000144506	8.09497942251241	0.0845039700088199	11.4674803911163	0.413087526961036	2.34586511526169	30.3467399363296	95.7940724165683	12
