"duration"	"severity"	"durationCDF"	"severityCDF"	"RT_duration"	"RT_severity"	"P2"	"RT"	"P_22"	"RT2"	"RT_condDuration"	"RT_condSeverity"	"intera_timeFUll"
3	0.624040170340239	0.0950941972737658	0.0151870002465183	1.04113558205865	0.956658401001473	0.89326582435886	1.05470242333053	0.996452978120855	0.945483279508411	1.16553835786332	1.07096720249889	11
4	2.33891609881191	0.201528835288214	0.126351758259991	1.17991691029907	1.07838553850143	0.726005437988444	1.29768949422749	0.94611396846335	0.995788732682816	1.62521773055624	1.48536840369865	13
6	4.0446644792022	0.652211454592653	0.449124973495837	2.70891506368089	1.71024204093687	0.303458768595122	3.10463801718852	0.595204803316388	1.5828663081686	8.92679778614391	5.63583003007137	11
5	3.21865572552776	0.385510285216973	0.267681897340815	1.5331902340502	1.28650326437184	0.527228169119046	1.78694858281918	0.819579648323165	1.14952784827832	2.90802032943731	2.44012619151491	6
1	0.183407212870622	0.0163215958401051	0.00759918216263062	0.957761831148718	0.949343866606952	0.976406531714329	0.964894845567535	0.999672690282935	0.942438098777091	0.980904776893621	0.972283404270288	7
4	3.61564250498543	0.201528835288214	0.35071319592544	1.17991691029907	1.45102229664511	0.577614936734116	1.63106867519131	0.87014303205223	1.08272961447225	2.04273960948867	2.51209275308791	12
6	5.4162987084825	0.652211454592653	0.754609105953561	2.70891506368089	3.83930150827575	0.202432812640939	4.65403615816332	0.390746626812848	2.41110112021741	13.3817982783541	18.9658062751202	11
6	4.50309856790395	0.652211454592653	0.557711116764857	2.70891506368089	2.13012278929187	0.280349829394737	3.36055003730034	0.509727599247754	1.84830021176018	9.66262426315478	7.59808840936593	12
5	2.93518419089187	0.385510285216973	0.215151521705523	1.5331902340502	1.20039683542094	0.547191503463585	1.72175485852062	0.852146689613918	1.10559559887099	2.80192624400322	2.19374172994779	13
6	4.45224938189007	0.652211454592653	0.545731098978993	2.70891506368089	2.07394701136731	0.283384825776707	3.32455919983514	0.518672620651646	1.81642444986968	9.55913943612273	7.31848293458548	11
6	6.28213082864866	0.652211454592653	0.885850297263065	2.70891506368089	8.25345670676714	0.108176459432108	8.70919268919973	0.353761788712174	2.66317522041975	25.0416317736948	76.2962362615224	12
6	5.16328748697092	0.652211454592653	0.704840469694582	2.70891506368089	3.1919336253678	0.228296594288876	4.12677916884516	0.414651481423889	2.27209999683206	11.8657708062572	13.981520991631	12
5	3.51757137626352	0.385510285216973	0.329314667538918	1.5331902340502	1.40472675341279	0.501527733201111	1.87851950602269	0.783647314042998	1.20223678783379	3.0570397857448	2.80089546483663	6
1	0.318940433252502	0.0163215958401051	0.00946530522497919	0.957761831148718	0.951132387991331	0.974620167877442	0.966663384035474	0.999592931057473	0.942513297520969	0.98270265967773	0.975900580902955	5
7	6.15218917634593	0.935182131120442	0.870204533220826	14.5350293972215	7.25857114280048	0.0577443688453592	16.3155238938134	0.136868966813373	6.88344225549876	251.713365092736	125.701800676688	13
7	4.09032057333169	0.935182131120442	0.459902294951848	14.5350293972215	1.74436888145198	0.0642793090419779	14.6568101566613	0.540636264885733	1.74263121218617	226.122987534439	27.137330930437	13
5	3.91780666592359	0.385510285216973	0.419400151956798	1.5331902340502	1.62268321771852	0.458831299865658	2.05332467489789	0.736258262960571	1.27961841248644	3.34151186830346	3.53655737564903	12
4	3.66924290819955	0.201528835288214	0.362617297519578	1.17991691029907	1.47812236818361	0.568966149706223	1.65586235686619	0.866887717485985	1.08679545300497	2.07379105225908	2.59790915320149	11
6	4.23091678208118	0.652211454592653	0.493241646595918	2.70891506368089	1.85912994487609	0.295164532803603	3.19187952793944	0.559382366007826	1.68423190804776	9.17764420389679	6.29862242328796	12
3	2.90488975912908	0.0950941972737658	0.209914948092772	1.04113558205865	1.19244077249073	0.737669555701795	1.2771702754268	0.957321298931667	0.984131065172173	1.41138477792831	1.61649720159086	12
4	2.80047268864785	0.201528835288214	0.192449091184062	1.17991691029907	1.16665044809499	0.685067159968302	1.37523688870624	0.920954913559422	1.02299213105707	1.72233757395941	1.70297237448803	12
7	5.97767265867304	0.935182131120442	0.846944723934366	14.5350293972215	6.15548613447093	0.059393266514652	15.8625663297574	0.15847987843054	5.94479020907725	244.725206242626	103.639461098716	12
4	4.1907298201417	0.201528835288214	0.483697120684312	1.17991691029907	1.82476152540217	0.476346248949125	1.97782523050843	0.838427795078349	1.12368606475122	2.47701522348943	3.83074607898731	12
7	6.1162837980573	0.935182131120442	0.865630994519807	14.5350293972215	7.01151002988192	0.0581237509124403	16.209030126925	0.141063123447311	6.67878043960603	250.070395820077	120.630721861779	12
7	6.88226514507984	0.935182131120442	0.940878148836647	14.5350293972215	15.9353878657576	0.0436385619169848	21.589383064957	0.080301158125927	11.7324538227979	333.077644145836	365.167575780157	12
5	5.55831441356009	0.385510285216973	0.780431026015623	1.5331902340502	4.29081400952699	0.20927576438977	4.50185730954943	0.624782924377633	1.50793114355376	7.32617194600077	20.5031577451819	11
7	4.90456638409241	0.935182131120442	0.649614817963371	14.5350293972215	2.68883981951937	0.0635194415307359	14.8321459843716	0.351683609385452	2.67891253526416	228.828041414506	42.3309738675565	13
4	4.05685397341973	0.201528835288214	0.451999020355379	1.17991691029907	1.71921157922127	0.501413626618842	1.87894700026931	0.845058517737565	1.11486910060613	2.35318078261164	3.4287292725057	12
5	5.18971713836674	0.385510285216973	0.710249959099273	1.5331902340502	3.25152544138007	0.268357027217571	3.51073209968821	0.635882728466182	1.48160908836469	5.7132479441545	12.1164162350923	12
